,Section,Original_Target,Full_Turns,Indexer_Row,Indexer_Hole,Current_Angle_On_Machine,Error,Notes
0,1.0,0.0,0.0,49.0,17.0,0.0,0.0,cutting hole 1;
1,1.0,72.0,7.0,49.0,27.0,5.469387755102041,0.040816326530612734,cutting hole 2;
2,1.0,72.0,7.0,49.0,27.0,10.938775510204081,0.040816326530612734,cutting hole 3;
3,1.0,72.0,7.0,49.0,27.0,16.408163265306122,0.040816326530612734,cutting hole 4;
4,1.0,72.0,7.0,49.0,27.0,21.877551020408163,0.040816326530612734,cutting hole 5;
5,1.0,72.0,7.0,49.0,27.0,0.0,0.040816326530612734,NO cutting moving back to 0 degree;
6,2.0,39.62,3.0,39.0,12.0,3.089387755102038,0.012464678178961464,move past hole 0 (cali-target>10);cutting hole 1;
7,2.0,72.0,7.0,49.0,27.0,8.558775510204079,0.040816326530612734,cutting hole 2;
8,2.0,72.0,7.0,49.0,27.0,14.02816326530612,0.040816326530612734,cutting hole 3;
9,2.0,72.0,7.0,49.0,27.0,19.49755102040816,0.040816326530612734,cutting hole 4;
10,2.0,72.0,7.0,49.0,27.0,24.9669387755102,0.040816326530612734,cutting hole 5;
11,2.0,72.0,7.0,49.0,27.0,0.0,0.040816326530612734,NO cutting moving back to 0 degree;
12,3.0,53.62,5.0,41.0,29.0,7.089387755102038,0.016217023394720975,cutting hole 1;
13,3.0,72.0,7.0,49.0,27.0,12.558775510204079,0.040816326530612734,cutting hole 2;
14,3.0,72.0,7.0,49.0,27.0,18.02816326530612,0.040816326530612734,cutting hole 3;
15,3.0,72.0,7.0,49.0,27.0,23.49755102040816,0.040816326530612734,cutting hole 4;
16,3.0,72.0,7.0,49.0,27.0,28.9669387755102,0.040816326530612734,cutting hole 5;
17,3.0,72.0,7.0,49.0,27.0,0.0,0.040816326530612734,NO cutting moving back to 0 degree;
18,4.0,21.24,2.0,49.0,23.0,4.709387755102039,0.015510204081630619,cutting hole 1;
19,4.0,72.0,7.0,49.0,27.0,10.17877551020408,0.040816326530612734,cutting hole 2;
20,4.0,72.0,7.0,49.0,27.0,15.64816326530612,0.040816326530612734,cutting hole 3;
21,4.0,72.0,7.0,49.0,27.0,21.11755102040816,0.040816326530612734,cutting hole 4;
22,4.0,72.0,7.0,49.0,27.0,26.586938775510202,0.040816326530612734,cutting hole 5;
23,4.0,72.0,7.0,49.0,27.0,0.0,0.040816326530612734,NO cutting moving back to 0 degree;
