x,y,z
159.83072289156627,172.23071034136547,8.359766960144043
156.5478437141217,168.12060490815156,15.359766960144043
159.4971186440678,162.6933474576271,22.359766960144043
160.49792305725973,157.62512781186095,29.359766960144043
158.3864600161551,154.62270294830373,36.35976696014404
158.36164772727273,151.1596590909091,43.35976696014404
158.3721372969314,149.07421875,50.35976696014404
159.82747395833334,149.05390625,57.35976696014404
161.22302827380952,148.97331762566137,64.35976696014404
160.58761760752688,147.20528813844086,71.35976696014404
161.47154588445807,148.08045756646217,78.35976696014404
162.65839301215277,149.72873263888889,85.35976696014404
163.25153374233128,150.01373977505114,92.35976696014404
164.94946384803922,150.40376838235295,99.35976696014404
166.523905664794,150.92765390917603,106.35976696014404
166.3428244773519,151.73878484320556,113.35976696014404
166.38287051361385,153.18613668007427,120.35976696014404
169.47420034358638,155.4365592277487,127.35976696014404
169.75254360465115,158.16919513081396,134.35976696014404
169.3258062214612,158.94987871004565,141.35976696014404
169.50198047969187,158.00134585084032,148.35976696014404
172.60912093495935,161.37134781504065,155.35976696014404
171.37285120673954,158.8072347449909,162.35976696014404
173.05005787037038,159.81384154040404,169.35976696014404
172.76456894985466,163.0540061773256,176.35976696014404
171.32583575581396,165.18997093023256,183.35976696014404
170.7842987804878,166.6654280995935,190.35976696014404
173.14172463175123,168.80466192716858,197.35976696014404
176.14366824127907,171.54841933139534,204.35976696014404
175.2488782051282,171.81796875,211.35976696014404
177.95097222222222,173.06055555555557,218.35976696014404
181.7487582781457,175.94200124172184,225.35976696014404
181.33595341140528,175.98116089613035,232.35976696014404
183.11775274547804,180.0236595607235,239.35976696014404
186.27817724920382,182.6543093152866,246.35976696014404
185.3203125,182.00110751915707,253.35976696014404
188.70678430316093,182.55744881465517,260.35976696014404
192.0927236519608,185.88457414215685,267.35976696014404
192.9598341112013,187.92296570616884,274.35976696014404
194.60609939759036,190.1846573795181,281.35976696014404
196.68602195945945,192.11595579954954,288.35976696014404
