crown_node_location,translation_x,translation_y,translation_z,rotation_axis_x,rotation_axis_y,rotation_axis_z,rotation_angle_degrees
0,159.83072289156627,172.23071034136547,8.359766960144043,0.4693961118842861,-0.3749224312412331,0.0,36.92357030992243
1,156.5478437141217,168.12060490815156,15.359766960144045,0.5629015559224404,-0.019689546499211914,0.0,34.2805655299399
2,159.4971186440678,162.6933474576271,22.359766960144043,0.5851098322803433,0.22021202473724452,-0.0,38.695213447862585
3,160.49792305725973,157.62512781186095,29.359766960144043,0.49825546356383943,-0.06856846796715296,0.0,30.19545795410149
4,158.3864600161551,154.62270294830373,36.35976696014404,0.4153021743463951,-0.13722126389245737,0.0,25.937147633667756
5,158.36164772727273,151.1596590909091,43.35976696014404,0.3684396371563021,-0.0009510809232329415,0.0,21.619493464280772
6,158.3721372969314,149.07421875,50.35976696014404,0.14794696689997366,0.10298670417284848,-0.0,10.385049627688039
7,159.82747395833334,149.05390625,57.35976696014404,0.0070621076390186424,0.1995349316252501,-0.0,11.517069663723733
8,161.22302827380952,148.97331762566137,64.35976696014404,0.13071860650115638,0.053750916937342706,-0.0,8.12529532004196
9,160.58761760752688,147.20528813844086,71.35976696014404,0.06363642923795378,0.01771248829139693,-0.0,3.7874583537457855
10,161.47154588445807,148.08045756646217,78.35976696014404,-0.17553748470285396,0.14404862316093206,0.0,13.124972165754752
11,162.65839301215277,149.72873263888889,85.35976696014404,-0.13572125820089828,0.12495961043845547,0.0,10.631179196101565
12,163.25153374233128,150.01373977505114,92.35976696014404,-0.04753010605339429,0.16131714632873861,0.0,9.681640573975196
13,164.94946384803922,150.40376838235295,99.35976696014404,-0.06343817219877239,0.22714748110816363,0.0,13.641127344527954
14,166.523905664794,150.92765390917603,106.35976696014404,-0.09446518824032622,0.09859359640451242,0.0,7.847933671639898
15,166.3428244773519,151.73878484320556,113.35976696014404,-0.15925330927003928,-0.009944868669467853,0.0,9.181562280089585
16,166.38287051361385,153.18613668007427,120.35976696014404,-0.24959959342397658,0.2113677206313234,0.0,19.091170258854575
17,169.47420034358638,155.4365592277487,127.35976696014404,-0.3270230542370965,0.22114145296609936,0.0,23.251967371345366
18,169.75254360465115,158.16919513081396,134.35976696014404,-0.243391162989477,-0.010280254371070543,0.0,14.099595982654032
19,169.3258062214612,158.94987871004565,141.35976696014404,0.011986453404909501,-0.017893214810243446,0.0,1.2340743957061502
20,169.50198047969187,158.00134585084032,148.35976696014404,-0.16605528590172952,0.22515743121835863,0.0,16.24636863363615
21,172.60912093495935,161.37134781504065,155.35976696014404,-0.05696364775224603,0.13224108417310013,0.0,8.278684399266893
22,171.37285120673954,158.8072347449909,162.35976696014404,0.11051418914555254,0.031287057185464255,-0.0,6.595411121407244
23,173.05005787037038,159.81384154040404,169.35976696014404,-0.2889749628804705,0.09470054830233417,0.0,17.703819572011252
24,172.76456894985466,163.0540061773256,176.35976696014404,-0.35613995212003186,-0.11422053615082581,0.0,21.96301546448551
25,171.32583575581396,165.18997093023256,183.35976696014404,-0.24747156070445667,-0.13569739564574237,0.0,16.393574309362815
26,170.7842987804878,166.6654280995935,190.35976696014404,-0.24804546888338921,0.12460899370203198,0.0,16.116178960902772
27,173.14172463175123,168.80466192716858,197.35976696014404,-0.30971675076480426,0.33993231131236135,0.0,27.378580610583224
28,176.14366824127907,171.54841933139534,204.35976696014404,-0.2081759205977599,0.14557383657546935,0.0,14.715849265643005
29,175.2488782051282,171.81796875,211.35976696014404,-0.10651147225167235,0.12730242470281913,0.0,9.554386528859517
30,177.95097222222222,173.06055555555557,218.35976696014404,-0.25812735207155185,0.40683404783994553,0.0,28.803872573331596
31,181.7487582781457,175.94200124172184,225.35976696014404,-0.1987275279113272,0.2303251775949669,0.0,17.710502911929176
32,181.33595341140528,175.98116089613035,232.35976696014404,-0.27866889784135507,0.09346597621520937,0.0,17.093121301111218
33,183.11775274547804,180.0236595607235,239.35976696014404,-0.4099619085856195,0.30362332589291086,0.0,30.674008938061935
34,186.27817724920385,182.6543093152866,246.35976696014404,-0.13819134298373967,0.1539229840063323,0.0,11.938130576796437
35,185.3203125,182.00110751915707,253.35976696014404,0.006816641722966758,0.17091532734993042,-0.0,9.848944120268156
36,188.70678430316093,182.5574488146552,260.35976696014404,-0.24226903786980739,0.42249507801277436,0.0,29.145434166109556
37,192.0927236519608,185.88457414215685,267.35976696014404,-0.34428506929674024,0.27290223430283395,0.0,26.060921790620654
38,192.9598341112013,187.92296570616884,274.35976696014404,-0.2893807801159217,0.16914152444199185,0.0,19.58388850809769
39,194.6060993975904,190.1846573795181,281.35976696014404,-0.278013530546801,0.24706250577844419,0.0,21.834651571312648
40,196.68602195945945,192.11595579954957,288.35976696014404,-0.2556811770756233,0.2753572639676024,0.0,22.0712035509969
