x,y,z
161.87885492089032,148.23674242424244,72.0
162.44421186749182,148.22663360029122,76.0
162.83316256830602,148.39774590163935,80.0
163.32111499244712,149.06521431268882,84.0
163.52243119266055,149.54552752293577,88.0
164.18640208949705,149.4720090606509,92.0
164.63446268511302,149.89489964925954,96.0
165.47365800455236,149.58612718133534,100.0
166.42284874122987,150.46571914981428,104.0
166.99971624555863,151.0817829648638,108.0
167.0443075117371,151.615035700313,112.0
167.0140367617517,152.2007583366814,116.0
167.70547067268254,153.35802912223133,120.0
168.44256474519634,154.73519736842104,124.0
168.91336797877045,155.05109741264928,128.0
169.16589219330854,155.5646168938455,132.0
169.30232619754133,156.5579429843154,136.0
169.83359149111936,157.1828789756299,140.0
169.9977099629477,158.33219689172498,144.0
170.69978675873273,158.6787672623883,148.0
171.32613106343283,159.4131296641791,152.0
172.28963871209285,160.9214479595657,156.0
171.5719500658111,160.52970755182625,160.0
172.26706590675352,161.50915966746658,164.0
172.03387374686716,162.26100407268171,168.0
172.04115853658536,163.79317785872664,172.0
172.35560082241852,164.89182911970758,176.0
172.43094946731932,165.02508638065075,180.0
172.78670605613,166.38978951255538,184.0
173.33181314623337,167.43112998522895,188.0
173.5121635610766,167.82205708370304,192.0
174.04595859121721,168.96734084880637,196.0
174.1823044426274,169.08859702916325,200.0
175.0531658148779,170.5130607609313,204.0
175.45590422367638,171.26249256395002,208.0
176.50134599036554,171.79622414281667,212.0
177.30151447329155,172.34804908982395,216.0
178.0042771599658,173.4067757342458,220.0
179.68631389654118,175.1967783899602,224.0
180.2913779121203,175.48907033323502,228.0
181.62867030201343,176.63172888702462,232.0
182.7044867549669,178.46163907284767,236.0
183.86381756756757,179.11560810810812,240.0
185.53563722669736,180.45619965477562,244.0
186.09297272470323,181.42232546636518,248.0
187.6260184682238,182.46347093970667,252.0
188.22747597437265,183.2105412439936,256.0
189.79048705800787,184.21611393575225,260.0
