x,y,z
159.21891522735282,172.50918664081777,7.0
157.24385794210653,170.421855996108,11.0
157.9392636945696,168.25500948541617,15.0
157.24906287787184,165.39123337363966,19.0
158.6385295385942,162.6330045278137,23.0
158.0061046511628,159.97571982281283,27.0
158.41375815961254,157.4224968414403,31.0
157.55020511352797,155.2175634420912,35.0
157.49824017650766,152.86241857533096,39.0
158.3121636930048,151.06690739167374,43.0
158.16016619519095,150.0418316831683,47.0
158.86496820109025,149.64597213809813,51.0
159.83521754025352,149.64170092497432,55.0
159.93837427499147,149.2171187308086,59.0
161.3506646301189,149.0559362615588,63.0
161.56074260994953,148.51198630136986,67.0
161.67759062614428,148.170129989015,71.0
162.47607650125855,148.26006832074793,75.0
162.70219848096633,148.41111136530014,79.0
163.09318438914028,148.9129430618401,83.0
163.68866445718382,149.28482174847724,87.0
163.82017299107142,149.43889508928572,91.0
164.51978521671828,149.77858939628484,95.0
165.25980511275273,149.70344090202178,99.0
166.24134332023576,150.33641944990177,103.0
166.81437779131141,151.03407937474626,107.0
166.88837693222354,151.38790626238605,111.0
167.21131363456985,152.0151687056038,115.0
167.54099545642296,153.09354347377118,119.0
168.12286303298472,154.27605842719228,123.0
168.89781165616563,155.0019408190819,127.0
169.12642580577648,155.51807764755128,131.0
169.3185332218972,156.2393700376097,135.0
169.74690748440747,157.10270270270271,139.0
169.91023662551441,158.02964248971193,143.0
170.60827862125564,158.62464095199016,147.0
171.02256219141663,159.34060482339535,151.0
172.06245313085864,160.3573068991376,155.0
171.75917667238423,160.6794382504288,159.0
172.0663741367971,161.33510769483723,163.0
172.18027892561983,161.98361570247934,167.0
171.94755588790932,163.43656525503778,171.0
172.37600409214915,164.39053501060928,175.0
172.459451311426,165.25938347904733,179.0
172.52896126760564,165.97327464788734,183.0
173.34661970781156,167.1510137149672,187.0
173.47698454381754,167.8561111944778,191.0
173.7597197769953,168.50399794600938,195.0
174.16697219147758,169.10886483121195,199.0
175.03901933701658,170.22976519337016,203.0
175.1810925925926,170.96114814814814,207.0
176.1797736506094,171.60367092280904,211.0
177.04773462783172,172.31531332744925,215.0
177.81821304599364,173.18086491177323,219.0
179.24334671424324,174.71402022004162,223.0
180.25884972594397,175.4154232643118,227.0
181.25460765149398,176.46034627199106,231.0
182.51013962765958,177.95430518617022,235.0
183.58557769997307,178.90841300834904,239.0
185.11627164348567,180.12052937837072,243.0
185.9600903614458,181.3197074010327,247.0
187.13722115119802,182.0343052877995,251.0
188.09571713147412,182.8270252324037,255.0
189.22136454183266,183.87674302788844,259.0
191.39537969515516,185.81665078933042,263.0
192.28602796514895,186.78110947161326,267.0
192.5110030536378,187.10681093998937,271.0
193.73870978375527,188.29494659810126,275.0
193.87902810002578,188.62031129157,279.0
195.60887320044296,190.9247646733112,283.0
